"NUTS_ID","year","natura2000","area","pop","GDPcap","tour","unemp","propFV_TOT","ALP","ATL","BLK","BOR","CON","MED","PAN","STE","CF","EFT"
"BE31",2013,8.14728522179594,1091,358.1,34300,406807,8.2,0.00637755102040816,0,100,0,0,0,0,0,0,8.78504032383676,968.398363245769
"BE32",2009,9.41117955673352,3786,346.5,18500,808657,13.2,0.0831678308522031,0,74,0,0,26,0,0,0,17.7279626419538,2043.72724808043
"BE32",2010,9.40973240288811,3786,348.5,19600,863013,13.9,0.0831678308522031,0,74,0,0,26,0,0,0,17.7265154881084,2013.57205356011
"BE32",2011,9.35843657958559,3786,350.5,20500,856851,11.7,0.0831678308522031,0,74,0,0,26,0,0,0,17.6752196648059,1954.82989004288
"BE32",2012,9.35843679336753,3786,352.2,20700,879049,12.1,0.0831678308522031,0,74,0,0,26,0,0,0,17.6752198785878,1952.95368722131
"BE32",2013,9.35844715208485,3786,353.3,20700,855679,13.2,0.0831678308522031,0,74,0,0,26,0,0,0,17.6752302373052,1948.38764545624
"BE33",2009,14.4740501988824,3862,276.7,21100,2012344,12.1,0.10823686200288,0,18,0,0,82,0,0,0,25.2977363991704,2916.39114081766
"BE33",2010,14.4617172439707,3862,278.2,22300,1996048,11.5,0.10823686200288,0,18,0,0,82,0,0,0,25.2854034442587,2872.19345350228
"BE33",2011,14.4514201181549,3862,282.5,23300,2008646,9.5,0.10823686200288,0,18,0,0,82,0,0,0,25.2751063184429,2795.35611111436
"BE33",2012,14.4508172013162,3862,284.3,23600,2063910,10.7,0.10823686200288,0,18,0,0,82,0,0,0,25.2745034016042,2792.60653897982
"BE33",2013,14.4508121810044,3862,285.4,23500,2055932,11.7,0.10823686200288,0,18,0,0,82,0,0,0,25.2744983812924,2786.07518714404
"BE34",2009,35.0240298386046,4440,60.4,19000,2309414,7.4,0.127869310040882,0,0,0,0,100,0,0,0,47.8109608426928,5511.77624888929
"BE34",2010,35.0382216197733,4440,61,20100,2226610,7.5,0.127869310040882,0,0,0,0,100,0,0,0,47.8251526238615,5432.50538128915
"BE34",2011,35.0756782568178,4440,61.9,20700,2088011,6.2,0.127869310040882,0,0,0,0,100,0,0,0,47.862609260906,5293.47080109909
"BE34",2012,35.10790977331,4440,62.5,20700,2077611,7.6,0.127869310040882,0,0,0,0,100,0,0,0,47.8948407773982,5291.95147430158
"BE34",2013,35.116499765122,4440,62.7,20500,2067215,7.9,0.127869310040882,0,0,0,0,100,0,0,0,47.9034307692102,5280.52259759009
"BE35",2009,23.1942819406863,3666,128.7,20100,1085465,9.4,0.124400013683096,0,12,0,0,88,0,0,0,35.6342833089959,4108.0160893427
"BE35",2010,23.1935643017807,3666,129.7,21500,1055204,9.6,0.124400013683096,0,12,0,0,88,0,0,0,35.6335656700903,4047.65121775488
"BE35",2011,23.1302600407414,3666,131.7,22200,1066950,8,0.124400013683096,0,12,0,0,88,0,0,0,35.570261409051,3933.97148763613
"BE35",2012,23.1302944853417,3666,132.6,22600,1071593,7.3,0.124400013683096,0,12,0,0,88,0,0,0,35.5702958536513,3930.19950643417
"BE35",2013,23.1303138207069,3666,133.1,22600,1026080,10.4,0.124400013683096,0,12,0,0,88,0,0,0,35.5703151890165,3921.01046089857
"BG31",2009,44.2747842577503,19070.3,45.8,6700,403805,8,0.0183473064936953,12,0,0,0,88,0,0,0,46.1095149071198,5315.62898200387
"BG31",2010,44.2751036148021,19070.3,46,6700,361218,11.2,0.0183473064936953,12,0,0,0,88,0,0,0,46.1098342641716,5237.66070838391
"BG31",2011,46.4562630520397,19074.8,45.2,7300,432186,12.8,0.0183473064936953,12,0,0,0,88,0,0,0,48.2909937014092,5340.84892282011
"BG31",2012,46.4023961630784,19074.8,44.5,7400,483858,12.3,0.0183473064936953,12,0,0,0,88,0,0,0,48.2371268124479,5329.77101933845
"BG31",2013,46.4023961203067,19074.8,43.8,8000,539547,14,0.0183473064936953,12,0,0,0,88,0,0,0,48.2371267696762,5317.30679535822
"BG32",2009,28.6656658372716,14974,58.7,7200,533360,8.4,0.0111808157581079,2,0,0,0,98,0,0,0,29.7837474130824,3433.55056457593
"BG32",2010,28.6641343673669,14974,59,7200,462765,11.6,0.0111808157581079,2,0,0,0,98,0,0,0,29.7822159431777,3382.99073816871
"BG32",2011,30.6182532575068,14805.4,59,7800,552822,12.8,0.0111808157581079,2,0,0,0,98,0,0,0,31.7363348333176,3509.94992475867
"BG32",2012,30.6017613055199,14805.4,58.4,8200,671282,14.3,0.0111808157581079,2,0,0,0,98,0,0,0,31.7198428813307,3504.75889627942
"BG32",2013,30.6017613512019,14805.4,57.8,8300,644307,15.3,0.0111808157581079,2,0,0,0,98,0,0,0,31.7198429270127,3496.56266113945
"BG33",2009,37.3369946573585,14487.4,67.2,8700,4863998,10.4,0.000552486187845304,0,0,22,0,78,0,0,0,37.392243276143,4310.6784458952
"BG33",2010,37.334074017404,14487.4,67.7,8900,5119160,14.6,0.000552486187845304,0,0,22,0,78,0,0,0,37.3893226361885,4247.08935110661
"BG33",2011,37.3492742231403,14644.6,66.7,9400,6250748,15.4,0.000552486187845304,0,0,22,0,78,0,0,0,37.4045228419248,4136.83567507671
"BG33",2012,37.3493744501825,14644.6,66.3,9900,6618837,18.2,0.000552486187845304,0,0,22,0,78,0,0,0,37.404623068967,4132.87625520045
"BG33",2013,37.3493744983304,14644.6,66.1,9400,6917967,16.8,0.000552486187845304,0,0,22,0,78,0,0,0,37.4046231171149,4123.2111031016
"BG34",2009,48.076237575521,19798.7,55.1,8800,5696053,6.6,0.0198632170293573,4,0,21,0,75,0,0,0,50.0625592784567,5771.34657672922
"BG34",2010,48.0752281539187,19798.7,55.9,9100,6396622,10.5,0.0198632170293573,4,0,21,0,75,0,0,0,50.0615498568544,5686.5399078172
"BG34",2011,50.5285700820617,19796.9,55.5,9300,7422388,11.5,0.0198632170293573,4,0,21,0,75,0,0,0,52.5148917849974,5808.00024443758
"BG34",2012,50.5285698364369,19796.9,55.2,9900,7784126,11.9,0.0198632170293573,4,0,21,0,75,0,0,0,52.5148915393726,5802.42575596401
"BG34",2013,50.5285699961961,19796.9,54.9,9900,8459346,13,0.0198632170293573,4,0,21,0,75,0,0,0,52.5148916991318,5788.85620245596
"BG41",2009,48.6019594260749,20306.4,105,18000,2325887,4.1,0.0361033015918742,35,0,0,0,65,0,0,0,52.2122895852623,6019.17327248532
"BG41",2010,48.6072074351574,20306.4,106.1,18900,2368724,6.9,0.0361033015918742,35,0,0,0,65,0,0,0,52.2175375943448,5931.44064191472
"BG41",2011,51.6172594284291,20254.7,106.4,19200,2421402,7.5,0.0361033015918742,35,0,0,0,65,0,0,0,55.2275895876165,6108.01703901084
